sample,S1,S2,S3
CLL_01,164,28,14
CLL_02,88,24,4
CLL_03,296,64,0
CLL_04,91,56,39
CLL_05,120,25,36
CLL_06,123,5,25
CLL_07,155,3,33
CLL_08,141,41,9
CLL_09,177,0,74
CLL_10,97,14,62
CLL_11,98,0,54
CLL_12,218,29,69
CLL_13,130,24,14
CLL_14,152,18,97
CLL_15,204,22,15
CLL_16,148,63,6
CLL_17,137,0,32
CLL_18,151,0,1
CLL_19,199,7,150
CLL_20,97,3,17
CLL_21,122,8,0
CLL_22,44,22,174
CLL_23,73,0,17
CLL_24,88,72,13
CLL_277,50,0,61
CLL_86,21,9,32
CLL_93,28,11,33
FL_01_1,129,76,0
FL_01_2,123,91,35
FL_01_3,129,124,38
FL_01_4,123,153,9
FL_0144_BM,101,86,15
FL_0144_LN,45,90,35
FL_02_1,16,110,52
FL_02_2,43,166,0
FL_02_3,81,282,0
FL_02_4,57,131,0
FL_02_5,10,277,0
FL_02_6,11,318,11
FL_02_7,0,274,76
FL_02_8,2,342,66
FL_02_9,15,335,96
FL_03_1,56,32,85
FL_03_2,89,66,123
FL_03_3,81,282,0
FL_04_1,55,15,69
FL_04_2,98,73,148
FL_04_3,10,67,288
FL_04_4,24,62,217
FL_05_1,0,0,213
FL_05_2,0,20,201
FL_05_3,0,0,309
FL_05_4,0,52,286
FL_10000_LN,82,21,46
FL_10971_LN,107,68,224
FL_11770_LN,43,75,112
FL_12118_LN,81,106,188
FL_12282_LN,61,134,218
FL_8934_LN,50,127,66
FL_8934_PBL,76,74,60
MBL_59,20,15,69
MBL_86,22,41,58
MBL_93,34,32,43
